sample_nr,compound,Name,Type,Area,conc,pre_crop,trt,pre_crop_long
31,HMBOA,20201001_VG_Soil_Bx_Exp12_Tri_w_01,Analyte,10.957,8.7,Tri,w,Triticum_aestivum
32,HMBOA,20201001_VG_Soil_Bx_Exp12_Tri_b_03,Analyte,NA,NA,Tri,b,Triticum_aestivum
33,HMBOA,20201001_VG_Soil_Bx_Exp12_Pha_w_09,Analyte,42.123,22.5,Pha,w,Phacelia_tanacetifolia
34,HMBOA,20201001_VG_Soil_Bx_Exp12_Gly_w_08,Analyte,18.323,11.9,Gly,w,Glycine_max
35,HMBOA,20201001_VG_Soil_Bx_Exp12_Med_w_08,Analyte,57.136,29.1,Med,w,Medicago_sativa
36,HMBOA,20201001_VG_Soil_Bx_Exp12_Bra_w_06,Analyte,12.912,9.6,Bra,w,Brassica_napus
37,HMBOA,20201001_VG_Soil_Bx_Exp12_Bra_b_06,Analyte,NA,NA,Bra,b,Brassica_napus
38,HMBOA,20201001_VG_Soil_Bx_Exp12_Tri_w_11,Analyte,16.997,11.4,Tri,w,Triticum_aestivum
39,HMBOA,20201001_VG_Soil_Bx_Exp12_Med_b_05,Analyte,NA,NA,Med,b,Medicago_sativa
40,HMBOA,20201001_VG_Soil_Bx_Exp12_Bra_w_12,Analyte,65.845,32.9,Bra,w,Brassica_napus
41,HMBOA,20201001_VG_Soil_Bx_Exp12_Pha_w_01,Analyte,15.766,10.8,Pha,w,Phacelia_tanacetifolia
42,HMBOA,20201001_VG_Soil_Bx_Exp12_Gly_w_05,Analyte,16.11,11,Gly,w,Glycine_max
43,HMBOA,20201001_VG_Soil_Bx_Exp12_Med_w_12,Analyte,77.526,38.1,Med,w,Medicago_sativa
44,HMBOA,20201001_VG_Soil_Bx_Exp12_Gly_w_07,Analyte,51.618,26.7,Gly,w,Glycine_max
45,HMBOA,20201001_VG_Soil_Bx_Exp12_Pha_w_11,Analyte,48.823,25.4,Pha,w,Phacelia_tanacetifolia
46,HMBOA,20201001_VG_Soil_Bx_Exp12_Bra_w_07,Analyte,11.031,8.7,Bra,w,Brassica_napus
24,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Tri_w_05,Analyte,2.511,9.1,Tri,w,Triticum_aestivum
25,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Tri_w_03,Analyte,4.029,12.9,Tri,w,Triticum_aestivum
26,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Pha_w_12,Analyte,27.336,71.2,Pha,w,Phacelia_tanacetifolia
27,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Med_w_10,Analyte,17.212,45.8,Med,w,Medicago_sativa
28,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Gly_w_03,Analyte,8.764,24.7,Gly,w,Glycine_max
29,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Gly_b_08,Analyte,2.657,9.4,Gly,b,Glycine_max
30,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Pha_b_08,Analyte,NA,NA,Pha,b,Phacelia_tanacetifolia
31,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Tri_w_01,Analyte,1.166,5.7,Tri,w,Triticum_aestivum
32,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Tri_b_03,Analyte,NA,NA,Tri,b,Triticum_aestivum
33,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Pha_w_09,Analyte,12.949,35.2,Pha,w,Phacelia_tanacetifolia
