"sample_nr","Name","Type","compound","Area","ng_mL","pre_crop_trt","BX_comp","pre_crop","trt","trt_comp"
16,"20210126_VG_exp_16_Tri_b_BX_10","Analyte","MBOA",4.909,0.7,"Tri_b","comp","Tri","b","b_comp"
17,"20210126_VG_exp_16_Tri_b_11","Analyte","MBOA",8.406,1.1,"Tri_b","no","Tri","b","b_no"
18,"20210126_VG_exp_16_Tri_W_12","Analyte","MBOA",1305.605,153.8,"Tri_W","no","Tri","W","W_no"
19,"20210126_VG_exp_16_Tri_b_BX_13","Analyte","MBOA",21.221,2.6,"Tri_b","comp","Tri","b","b_comp"
20,"20210126_VG_exp_16_Tri_W_13","Analyte","MBOA",3535.871,416.4,"Tri_W","no","Tri","W","W_no"
22,"20210126_VG_exp_16_Tri_b_BX_16","Analyte","MBOA",9.53,1.3,"Tri_b","comp","Tri","b","b_comp"
23,"20210126_VG_exp_16_Tri_W_16","Analyte","MBOA",2024.948,238.5,"Tri_W","no","Tri","W","W_no"
24,"20210126_VG_exp_16_Tri_b_16","Analyte","MBOA",5.323,0.8,"Tri_b","no","Tri","b","b_no"
5,"20210126_VG_exp_16_Tri_b_BX_01","Analyte","AAMPO",NA,NA,"Tri_b","comp","Tri","b","b_comp"
6,"20210126_VG_exp_16_Tri_b_02","Analyte","AAMPO",NA,NA,"Tri_b","no","Tri","b","b_no"
7,"20210126_VG_exp_16_Tri_W_02","Analyte","AAMPO",12.04,3.7,"Tri_W","no","Tri","W","W_no"
8,"20210126_VG_exp_16_Tri_b_03","Analyte","AAMPO",NA,NA,"Tri_b","no","Tri","b","b_no"
9,"20210126_VG_exp_16_Tri_W_03","Analyte","AAMPO",9.344,3.3,"Tri_W","no","Tri","W","W_no"
11,"20210126_VG_exp_16_Tri_b_05","Analyte","AAMPO",NA,NA,"Tri_b","no","Tri","b","b_no"
12,"20210126_VG_exp_16_Tri_W_05","Analyte","AAMPO",5.251,2.7,"Tri_W","no","Tri","W","W_no"
13,"20210126_VG_exp_16_Tri_b_BX_07","Analyte","AAMPO",NA,NA,"Tri_b","comp","Tri","b","b_comp"
14,"20210126_VG_exp_16_Tri_b_08","Analyte","AAMPO",NA,NA,"Tri_b","no","Tri","b","b_no"
15,"20210126_VG_exp_16_Tri_b_BX_09","Analyte","AAMPO",NA,NA,"Tri_b","comp","Tri","b","b_comp"
16,"20210126_VG_exp_16_Tri_b_BX_10","Analyte","AAMPO",NA,NA,"Tri_b","comp","Tri","b","b_comp"
17,"20210126_VG_exp_16_Tri_b_11","Analyte","AAMPO",NA,NA,"Tri_b","no","Tri","b","b_no"
18,"20210126_VG_exp_16_Tri_W_12","Analyte","AAMPO",10.171,3.4,"Tri_W","no","Tri","W","W_no"
19,"20210126_VG_exp_16_Tri_b_BX_13","Analyte","AAMPO",NA,NA,"Tri_b","comp","Tri","b","b_comp"
20,"20210126_VG_exp_16_Tri_W_13","Analyte","AAMPO",8.032,3.1,"Tri_W","no","Tri","W","W_no"
22,"20210126_VG_exp_16_Tri_b_BX_16","Analyte","AAMPO",NA,NA,"Tri_b","comp","Tri","b","b_comp"
23,"20210126_VG_exp_16_Tri_W_16","Analyte","AAMPO",1.929,2.2,"Tri_W","no","Tri","W","W_no"
24,"20210126_VG_exp_16_Tri_b_16","Analyte","AAMPO",NA,NA,"Tri_b","no","Tri","b","b_no"
