pre_pot_id,pot_id,X,maize_line,soil,sub_exp,precrop,trt,x_ray,inoculate,complementation,dw_harvest,chloro_harvest,height_harvest
x_Ray,Tri.W.x.0.15,15,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.016,36.7,46.6
x_Ray,Tri.W.x.0.16,16,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.41,32.4,48.7
x_Ray,Tri.b.x.in.01,1,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,NA,NA,NA
x_Ray,Tri.b.x.in.02,2,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,NA,NA,NA
x_Ray,Tri.b.x.in.03,3,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,1.3,32.1,48.6
x_Ray,Tri.b.x.in.04,4,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,1.153,31.4,43.7
x_Ray,Tri.b.x.in.05,5,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,1.019,30.8,44.6
x_Ray,Tri.b.x.in.06,6,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,0.903,29.2,39
x_Ray,Tri.b.x.in.07,7,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,1.112,35.6,48.6
x_Ray,Tri.b.x.in.08,8,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,0.825,31.5,39.4
x_Ray,Tri.b.x.in.09,9,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,0.984,32.3,39.9
x_Ray,Tri.b.x.in.10,10,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,1.105,31.4,45.3
x_Ray,Tri.b.x.in.11,11,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,0.798,35.3,41.5
x_Ray,Tri.b.x.in.12,12,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,NA,NA,NA
x_Ray,Tri.b.x.in.13,13,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,NA,NA,NA
x_Ray,Tri.b.x.in.14,14,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,NA,NA,NA
x_Ray,Tri.b.x.in.15,15,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,1.148,33.5,46.4
x_Ray,Tri.b.x.in.16,16,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,NA,NA,NA
x_Ray,Tri.W.x.in.01,1,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,1.069,36.4,47.6
x_Ray,Tri.W.x.in.02,2,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,0.842,34.7,40.8
x_Ray,Tri.W.x.in.03,3,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,1.146,29.4,47.1
x_Ray,Tri.W.x.in.04,4,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,1.075,33.2,43.2
x_Ray,Tri.W.x.in.05,5,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,0.878,31.5,43.1
x_Ray,Tri.W.x.in.06,6,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,0.677,29.7,34.3
x_Ray,Tri.W.x.in.07,7,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,0.901,32.6,39.3
x_Ray,Tri.W.x.in.08,8,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,0.856,34.5,43.1
x_Ray,Tri.W.x.in.09,9,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,1.159,33.1,47.1
x_Ray,Tri.W.x.in.10,10,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,0.954,33.6,47.9
x_Ray,Tri.W.x.in.11,11,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,0.965,37.1,43.7
x_Ray,Tri.W.x.in.12,12,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,0.821,34.1,40.8
x_Ray,Tri.W.x.in.13,13,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,0.817,32.2,41.6
x_Ray,Tri.W.x.in.14,14,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,0.732,34,36.8
x_Ray,Tri.W.x.in.15,15,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,1.017,31.7,44.5
x_Ray,Tri.W.x.in.16,16,W22,changins,ster_reinoc,Tri,W,yes,Tri,no,NA,NA,NA
